survived,sex,age, fare ,class,SEX TYPE,EMBARK TOWN 
1,female,, $33.00 ,Second,woman,Southampton
0,male,49, $-   ,Third,man,Southampton
0,male,, $7.23 ,Third,man,Cherbourg
1,male,49, $56.93 ,First,man,Cherbourg
1,female,24, $27.00 ,Second,woman,Southampton
0,male,, $7.90 ,Third,man,Southampton
0,male,, $42.40 ,First,man,Southampton
0,male,44, $8.05 ,Third,man,Southampton
1,male,35, $26.55 ,First,man,Cherbourg
0,male,36, $15.55 ,Third,man,Southampton
0,male,30, $7.90 ,Third,man,Southampton
1,male,27, $30.50 ,First,man,Southampton
1,female,22, $41.58 ,Second,woman,Cherbourg
1,female,40, $153.46 ,First,woman,Southampton
0,female,39, $31.28 ,Third,woman,Southampton
0,male,, $7.05 ,Third,man,Southampton
1,female,, $15.50 ,Third,woman,Queenstown
0,male,, $7.75 ,Third,man,Queenstown
0,male,35, $8.05 ,Third,man,Southampton
1,female,24, $65.00 ,Second,woman,Southampton
0,male,34, $14.40 ,Third,man,Southampton
0,female,26, $16.10 ,Third,woman,Southampton
1,female,4, $39.00 ,Second,child,Southampton
0,male,26, $10.50 ,Second,man,Southampton
0,male,27, $14.45 ,Third,man,Cherbourg
1,male,42, $52.55 ,First,man,Southampton
1,male,20, $15.74 ,Third,man,Cherbourg
0,male,21, $7.85 ,Third,man,Southampton
0,male,21, $16.10 ,Third,man,Southampton
0,male,61, $32.32 ,First,man,Southampton
0,male,57, $12.35 ,Second,man,Queenstown
1,female,21, $77.96 ,First,woman,Southampton
0,male,26, $7.90 ,Third,man,Southampton
0,male,, $7.73 ,Third,man,Queenstown
1,male,80, $30.00 ,First,man,Southampton
0,male,51, $7.05 ,Third,man,Southampton
1,male,32, $30.50 ,First,man,Cherbourg
0,male,, $-   ,First,man,Southampton
0,female,9, $27.90 ,Third,child,Southampton
1,female,28, $13.00 ,Second,woman,Southampton
0,male,32, $7.93 ,Third,man,Southampton
0,male,31, $26.25 ,Second,man,Southampton
0,female,41, $39.69 ,Third,woman,Southampton
0,male,, $16.10 ,Third,man,Southampton
0,male,20, $7.85 ,Third,man,Southampton
1,female,24, $69.30 ,First,woman,Cherbourg
0,female,2, $27.90 ,Third,child,Southampton
1,male,, $56.50 ,Third,man,Southampton
1,female,0.75, $19.26 ,Third,child,Cherbourg
1,male,48, $76.73 ,First,man,Cherbourg
0,male,19, $7.90 ,Third,man,Southampton
1,male,56, $35.50 ,First,man,Cherbourg
0,male,, $7.55 ,Third,man,Southampton
1,female,23, $7.55 ,Third,woman,Southampton
0,male,, $7.90 ,Third,man,Southampton
1,female,18, $23.00 ,Second,woman,Southampton
0,male,21, $8.43 ,Third,man,Southampton
1,female,, $7.83 ,Third,woman,Queenstown
0,female,18, $6.75 ,Third,woman,Queenstown
0,male,24, $73.50 ,Second,man,Southampton
0,male,, $7.90 ,Third,man,Southampton
0,female,32, $15.50 ,Third,woman,Queenstown
0,male,23, $13.00 ,Second,man,Southampton
0,male,58, $113.28 ,First,man,Cherbourg
1,male,50, $133.65 ,First,man,Southampton
0,male,40, $7.23 ,Third,man,Cherbourg
0,male,47, $25.59 ,First,man,Southampton
0,male,36, $7.50 ,Third,man,Southampton
1,male,20, $7.93 ,Third,man,Southampton
0,male,32, $73.50 ,Second,man,Southampton
0,male,25, $13.00 ,Second,man,Southampton
0,male,, $7.78 ,Third,man,Southampton
0,male,43, $8.05 ,Third,man,Southampton
1,female,, $52.00 ,First,woman,Southampton
1,female,40, $39.00 ,Second,woman,Southampton
0,male,31, $52.00 ,First,man,Southampton
0,male,70, $10.50 ,Second,man,Southampton
1,male,31, $13.00 ,Second,man,Southampton
0,male,, $-   ,Second,man,Southampton
0,male,18, $7.78 ,Third,man,Southampton
0,male,24.5, $8.05 ,Third,man,Southampton
1,female,18, $9.84 ,Third,woman,Southampton
0,female,43, $46.90 ,Third,woman,Southampton
1,male,36, $512.33 ,First,man,Cherbourg
0,female,, $8.14 ,Third,woman,Queenstown
1,male,27, $76.73 ,First,man,Cherbourg
0,male,20, $9.23 ,Third,man,Southampton
0,male,14, $46.90 ,Third,child,Southampton
0,male,60, $39.00 ,Second,man,Southampton
0,male,25, $41.58 ,Second,man,Cherbourg
0,male,14, $39.69 ,Third,child,Southampton
0,male,19, $10.17 ,Third,man,Southampton
0,male,18, $7.80 ,Third,man,Southampton
1,female,15, $211.34 ,First,child,Southampton
1,male,31, $57.00 ,First,man,Southampton
1,female,4, $13.42 ,Third,child,Cherbourg
1,male,, $56.50 ,Third,man,Southampton
0,male,25, $7.23 ,Third,man,Cherbourg
0,male,60, $26.55 ,First,man,Southampton
0,male,52, $13.50 ,Second,man,Southampton
0,male,44, $8.05 ,Third,man,Southampton
1,female,, $7.73 ,Third,woman,Queenstown
0,male,49, $110.88 ,First,man,Cherbourg
0,male,42, $7.65 ,Third,man,Southampton
1,female,18, $227.53 ,First,woman,Cherbourg
1,male,35, $26.29 ,First,man,Southampton
0,female,18, $14.45 ,Third,woman,Cherbourg
0,male,25, $7.74 ,Third,man,Queenstown
0,male,26, $7.85 ,Third,man,Southampton
0,male,39, $26.00 ,Second,man,Southampton
1,female,45, $13.50 ,Second,woman,Southampton
1,male,42, $26.29 ,First,man,Southampton
1,female,22, $151.55 ,First,woman,Southampton
1,male,, $15.25 ,Third,man,Cherbourg
1,female,24, $49.50 ,First,woman,Cherbourg
0,male,, $26.55 ,First,man,Southampton
1,male,48, $52.00 ,First,man,Southampton
0,male,29, $9.48 ,Third,man,Southampton
0,male,52, $13.00 ,Second,man,Southampton
0,male,19, $7.65 ,Third,man,Southampton
1,female,38, $227.53 ,First,woman,Cherbourg
1,female,27, $10.50 ,Second,woman,Southampton
0,male,, $15.50 ,Third,man,Queenstown
0,male,33, $7.78 ,Third,man,Southampton
1,female,6, $33.00 ,Second,child,Southampton
0,male,17, $7.05 ,Third,man,Southampton
0,male,34, $13.00 ,Second,man,Southampton
0,male,50, $13.00 ,Second,man,Southampton
1,male,27, $53.10 ,First,man,Southampton
0,male,20, $8.66 ,Third,man,Southampton
1,female,30, $21.00 ,Second,woman,Southampton
1,female,, $7.74 ,Third,woman,Queenstown
0,male,25, $26.00 ,Second,man,Southampton
0,female,25, $7.93 ,Third,woman,Southampton
1,female,29, $211.34 ,First,woman,Southampton
0,male,11, $18.79 ,Third,child,Cherbourg
0,male,, $-   ,Second,man,Southampton
0,male,23, $13.00 ,Second,man,Southampton
0,male,23, $13.00 ,Second,man,Southampton
0,male,28.5, $16.10 ,Third,man,Southampton
0,female,48, $34.38 ,Third,woman,Southampton
1,male,35, $512.33 ,First,man,Cherbourg
0,male,, $7.90 ,Third,man,Southampton
0,male,, $7.90 ,Third,man,Southampton
1,male,, $30.00 ,First,man,Southampton
0,male,36, $78.85 ,First,man,Southampton
1,female,21, $262.38 ,First,woman,Cherbourg
0,male,24, $16.10 ,Third,man,Southampton
1,male,31, $7.93 ,Third,man,Southampton
0,male,70, $71.00 ,First,man,Southampton
0,male,16, $20.25 ,Third,man,Southampton
1,female,30, $13.00 ,Second,woman,Southampton
0,male,19, $53.10 ,First,man,Southampton
0,male,31, $7.75 ,Third,man,Queenstown
1,female,4, $23.00 ,Second,child,Southampton
1,male,6, $12.48 ,Third,child,Southampton
0,male,33, $9.50 ,Third,man,Southampton
0,male,23, $7.90 ,Third,man,Southampton
1,female,48, $65.00 ,Second,woman,Southampton
1,male,0.67, $14.50 ,Second,child,Southampton
0,male,28, $7.80 ,Third,man,Southampton
0,male,18, $11.50 ,Second,man,Southampton
0,male,34, $8.05 ,Third,man,Southampton
1,female,33, $86.50 ,First,woman,Southampton
0,male,, $14.50 ,Third,man,Southampton
0,male,41, $7.13 ,Third,man,Southampton
1,male,20, $7.23 ,Third,man,Cherbourg
1,female,36, $120.00 ,First,woman,Southampton
0,male,16, $7.78 ,Third,man,Southampton
1,female,51, $77.96 ,First,woman,Southampton
0,male,, $39.60 ,First,man,Cherbourg
0,female,30.5, $7.75 ,Third,woman,Queenstown
0,male,, $24.15 ,Third,man,Queenstown
0,male,32, $8.36 ,Third,man,Southampton
0,male,24, $9.50 ,Third,man,Southampton
0,male,48, $7.85 ,Third,man,Southampton
0,female,57, $10.50 ,Second,woman,Southampton
0,male,, $7.23 ,Third,man,Cherbourg
1,female,54, $23.00 ,Second,woman,Southampton
0,male,18, $7.75 ,Third,man,Southampton
0,male,, $7.75 ,Third,man,Queenstown
1,female,5, $12.48 ,Third,child,Southampton
0,male,, $7.74 ,Third,man,Queenstown
1,female,43, $211.34 ,First,woman,Southampton
1,female,13, $7.23 ,Third,child,Cherbourg
1,female,17, $57.00 ,First,woman,Southampton
0,male,29, $30.00 ,First,man,Southampton
0,male,, $23.45 ,Third,man,Southampton
0,male,25, $7.05 ,Third,man,Southampton
0,male,25, $7.25 ,Third,man,Southampton
1,female,18, $7.50 ,Third,woman,Southampton
0,male,8, $29.13 ,Third,child,Queenstown
1,male,1, $20.58 ,Third,child,Southampton
0,male,46, $79.20 ,First,man,Cherbourg
0,male,, $7.75 ,Third,man,Queenstown
0,male,16, $26.00 ,Second,man,Southampton
0,female,, $69.55 ,Third,woman,Southampton
0,male,, $30.70 ,First,man,Cherbourg
0,male,25, $7.90 ,Third,man,Southampton
0,male,39, $13.00 ,Second,man,Southampton
1,female,49, $25.93 ,First,woman,Southampton
1,female,31, $8.68 ,Third,woman,Southampton
0,male,30, $7.23 ,Third,man,Cherbourg
0,female,30, $24.15 ,Third,woman,Southampton
0,male,34, $13.00 ,Second,man,Southampton
1,female,31, $26.25 ,Second,woman,Southampton
1,male,11, $120.00 ,First,child,Southampton
1,male,0.42, $8.52 ,Third,child,Cherbourg
1,male,27, $6.98 ,Third,man,Southampton
0,male,31, $7.78 ,Third,man,Southampton
0,male,39, $-   ,First,man,Southampton
0,female,18, $7.78 ,Third,woman,Southampton
0,male,39, $13.00 ,Second,man,Southampton
1,female,33, $53.10 ,First,woman,Southampton
0,male,26, $7.89 ,Third,man,Southampton
0,male,39, $24.15 ,Third,man,Southampton
0,male,35, $10.50 ,Second,man,Southampton
0,female,6, $31.28 ,Third,child,Southampton
0,male,30.5, $8.05 ,Third,man,Southampton
0,male,, $-   ,First,man,Southampton
0,female,23, $7.93 ,Third,woman,Southampton
0,male,31, $37.00 ,Second,man,Cherbourg
0,male,43, $6.45 ,Third,man,Southampton
0,male,10, $27.90 ,Third,child,Southampton
1,female,52, $93.50 ,First,woman,Southampton
1,male,27, $8.66 ,Third,man,Southampton
0,male,38, $-   ,First,man,Southampton
1,female,27, $12.48 ,Third,woman,Southampton
0,male,2, $39.69 ,Third,child,Southampton
0,male,, $6.95 ,Third,man,Queenstown
0,male,, $56.50 ,Third,man,Southampton
1,male,1, $37.00 ,Second,child,Cherbourg
1,male,, $7.75 ,Third,man,Queenstown
1,female,62, $80.00 ,First,woman,
1,female,15, $14.45 ,Third,child,Cherbourg
1,male,0.83, $18.75 ,Second,child,Southampton
0,male,, $7.23 ,Third,man,Cherbourg
0,male,23, $7.85 ,Third,man,Southampton
0,male,18, $8.30 ,Third,man,Southampton
1,female,39, $83.16 ,First,woman,Cherbourg
0,male,21, $8.66 ,Third,man,Southampton
0,male,, $8.05 ,Third,man,Southampton
1,male,32, $56.50 ,Third,man,Southampton
1,male,, $29.70 ,First,man,Cherbourg
0,male,20, $7.93 ,Third,man,Southampton
0,male,16, $10.50 ,Second,man,Southampton
1,female,30, $31.00 ,First,woman,Cherbourg
0,male,34.5, $6.44 ,Third,man,Cherbourg
0,male,17, $8.66 ,Third,man,Southampton
0,male,42, $7.55 ,Third,man,Southampton
0,male,, $69.55 ,Third,man,Southampton
0,male,35, $7.90 ,Third,man,Cherbourg
0,male,28, $33.00 ,Second,man,Southampton
1,female,, $89.10 ,First,woman,Cherbourg
0,male,4, $31.28 ,Third,child,Southampton
0,male,74, $7.78 ,Third,man,Southampton
0,female,9, $15.25 ,Third,child,Cherbourg
1,female,16, $39.40 ,First,woman,Southampton
0,female,44, $26.00 ,Second,woman,Southampton
1,female,18, $9.35 ,Third,woman,Southampton
1,female,45, $164.87 ,First,woman,Southampton
1,male,51, $26.55 ,First,man,Southampton
1,female,24, $19.26 ,Third,woman,Cherbourg
0,male,, $7.23 ,Third,man,Cherbourg
0,male,41, $14.11 ,Third,man,Southampton
0,male,21, $11.50 ,Second,man,Southampton
1,female,48, $25.93 ,First,woman,Southampton
0,female,, $69.55 ,Third,woman,Southampton
0,male,24, $13.00 ,Second,man,Southampton
1,female,42, $13.00 ,Second,woman,Southampton
1,female,27, $13.86 ,Second,woman,Cherbourg
0,male,31, $50.50 ,First,man,Southampton
0,male,, $9.50 ,Third,man,Southampton
1,male,4, $11.13 ,Third,child,Southampton
0,male,26, $7.90 ,Third,man,Southampton
1,female,47, $52.55 ,First,woman,Southampton
0,male,33, $5.00 ,First,man,Southampton
0,male,47, $9.00 ,Third,man,Southampton
1,female,28, $24.00 ,Second,woman,Cherbourg
1,female,15, $7.23 ,Third,child,Cherbourg
0,male,20, $9.85 ,Third,man,Southampton
0,male,19, $7.90 ,Third,man,Southampton
0,male,, $7.90 ,Third,man,Southampton
1,female,56, $83.16 ,First,woman,Cherbourg
1,female,25, $26.00 ,Second,woman,Southampton
0,male,33, $7.90 ,Third,man,Southampton
0,female,22, $10.52 ,Third,woman,Southampton
0,male,28, $10.50 ,Second,man,Southampton
0,male,25, $7.05 ,Third,man,Southampton
0,female,39, $29.13 ,Third,woman,Queenstown
0,male,27, $13.00 ,Second,man,Southampton
1,female,19, $30.00 ,First,woman,Southampton
0,female,, $23.45 ,Third,woman,Southampton
1,male,26, $30.00 ,First,man,Cherbourg
0,male,32, $7.75 ,Third,man,Queenstown
